id,status,engine,model,priority,rationale
FIS-CIR-BAS-001,planned,dc_circuit,single_loop_topology,P1,"La struttura di un circuito chiuso si presta a una rappresentazione interattiva di generatore, conduttori e utilizzatore."
FIS-CIR-COR-001,planned,dc_circuit,charge_flow,P2,"Un flusso di carica controllabile rende visibile la relazione tra carica trasferita, tempo e intensità di corrente."
FIS-CIR-OHM-001,planned,dc_circuit,ohmic_resistor,P1,Slider per tensione e resistenza possono mostrare direttamente la relazione V=RI.
FIS-CIR-OHM-002,planned,dc_circuit,ohmic_resistor,P1,Il problema numerico è un caso naturale dello stesso modello ohmico.
FIS-CIR-RES-001,planned,dc_circuit,ohmic_resistor,P2,La definizione R=V/I acquista valore didattico se collegata allo stesso modello di circuito semplice.
FIS-DIN-NEW-001,planned,newtonian_particle,constant_force_2d,P1,"Forze vettoriali costanti, accelerazione e traiettoria possono essere rappresentate dallo stesso modello newtoniano 2D."
FIS-DIN-NEW-002,planned,newtonian_particle,constant_force_2d,P1,"Forze vettoriali costanti, accelerazione e traiettoria possono essere rappresentate dallo stesso modello newtoniano 2D."
FIS-DIN-NEW-003,planned,newtonian_particle,constant_force_2d,P1,"Forze vettoriali costanti, accelerazione e traiettoria possono essere rappresentate dallo stesso modello newtoniano 2D."
FIS-DIN-PIA-001,planned,newtonian_particle,inclined_plane_friction,P1,"Il modello richiede peso, reazione normale, attrito e inversione del moto lungo un piano inclinato."
FIS-ELE-CAM-001,planned,electrostatics_2d,point_charge_field,P1,Campo vettoriale e linee di campo di una carica puntiforme hanno elevato valore visuale.
FIS-ELE-CAR-001,not_required,,,P3,Quesito prevalentemente definitorio sulle proprietà fondamentali della carica; una simulazione completa aggiungerebbe poco.
FIS-ELE-CON-001,not_required,,,P3,Quesito concettuale e classificatorio sui materiali; meglio eventuale illustrazione statica che un engine dedicato.
FIS-ELE-COU-001,planned,electrostatics_2d,torsion_balance,P2,La dipendenza della forza da cariche e distanza può essere esplorata con una bilancia di torsione schematica.
FIS-ELE-COU-002,planned,electrostatics_2d,inverse_square_compare,P2,Un confronto interattivo tra due leggi a inverso del quadrato rende evidenti analogie e differenze.
FIS-FLU-ARC-001,implemented,fluid_statics,floating_body,P0,"Percentuale immersa, densità e equilibrio peso-spinta sono direttamente visualizzabili."
FIS-FLU-ARC-002,implemented,fluid_statics,buoyancy_apparent_weight,P0,Peso apparente e spinta di Archimede sono adatti a vettori di forza e volume immerso.
FIS-FLU-ARC-003,implemented,fluid_statics,floating_body,P1,Lo stesso modello permette di mostrare qualitativamente l'equilibrio tra peso e spinta.
FIS-FLU-PAS-001,planned,fluid_statics,hydraulic_press,P1,Il torchio idraulico rende visibile la trasmissione della pressione e il rapporto tra aree e forze.
FIS-FLU-PID-001,implemented,fluid_statics,hydrostatic_column,P0,Profondità e pressione possono essere variate e lette in tempo reale.
FIS-FLU-PID-002,implemented,fluid_statics,hydrostatic_column,P1,La legge p=p0+ρgh è il nucleo dello stesso modello.
FIS-FLU-PID-003,planned,fluid_statics,hydrostatic_pressure_points,P1,Punti mobili a quote diverse permettono un confronto qualitativo immediato.
FIS-FLU-PID-004,planned,fluid_statics,orifice_outflow,P1,Fori a diverse profondità possono collegare pressione idrostatica e velocità di uscita in una vista coerente.
FIS-FLU-VAS-001,planned,fluid_statics,communicating_vessels,P1,I livelli e l'uguaglianza della pressione alla stessa quota sono naturalmente interattivi.
FIS-MAG-FAR-001,planned,electromagnetic_induction,lenz_direction,P2,Una variazione controllabile del flusso può mostrare il verso della corrente indotta e il significato del segno meno.
FIS-MAG-FAR-002,planned,electromagnetic_induction,faraday_loop,P1,"Flusso, variazione temporale e f.e.m. indotta possono essere collegati nella stessa vista."
FIS-MAG-FIL-001,planned,magnetic_interaction_2d,parallel_wires,P1,Campo di un filo e forza tra correnti parallele sono altamente visualizzabili.
FIS-MAG-LOR-001,planned,magnetic_interaction_2d,lorentz_force_charge,P1,"Velocità, campo magnetico e forza vettoriale possono essere manipolati direttamente."
FIS-MAG-OER-001,planned,magnetic_interaction_2d,wire_field_compass,P2,Un ago magnetico vicino a un filo rende evidente la relazione corrente-campo.
FIS-OND-COR-001,planned,wave_1d,string_mode,P1,"Densità lineare, tensione e frequenza sono adatte a una corda vibrante interattiva."
FIS-OND-DOP-001,planned,wave_1d,doppler_observer_moving,P1,Fronti d'onda e osservatore mobile rendono intuitivo l'effetto Doppler.
FIS-OND-DOP-002,planned,wave_1d,doppler_source_moving,P1,La sorgente mobile può usare lo stesso motore con un modello Doppler complementare.
FIS-OND-MEC-001,planned,wave_1d,mechanical_wave_energy,P2,"Ampiezza, lavoro/potenza e propagazione possono sostenere la modellizzazione sperimentale proposta."
FIS-OND-SUO-001,planned,wave_1d,echo_time_of_flight,P1,"Emissione, riflessione e tempo di volo permettono di visualizzare il principio del sonar."
